cca3,continents
JAM,North America
COM,Africa
ZWE,Africa
SXM,North America
LAO,Asia
LVA,Europe
TJK,Asia
GBR,Europe
NIC,North America
SDN,Africa
GRC,Europe
LTU,Europe
RWA,Africa
SEN,Africa
MCO,Europe
LSO,Africa
TUN,Africa
VUT,Oceania
ECU,South America
KWT,Asia
PHL,Asia
CHL,South America
BHS,North America
TZA,Africa
CRI,North America
MAR,Africa
MNE,Europe
FSM,Oceania
PRT,Europe
ARE,Asia
LBY,Africa
LUX,Europe
JEY,Europe
SLB,Oceania
DZA,Africa
ATG,North America
SHN,Africa
BRA,South America
SGS,Antarctica
MLI,Africa
PAK,Asia
TTO,North America
ARM,Asia
BGD,Asia
TCA,North America
TKM,Asia
FRO,Europe
PLW,Oceania
CUB,North America
TCD,Africa
BIH,Europe
BWA,Africa
EST,Europe
IOT,Asia
ATF,Antarctica
GRL,North America
CXR,Asia
PCN,Oceania
ESH,Africa
MSR,North America
BHR,Asia
DOM,North America
USA,North America
COK,Oceania
COL,South America
GIN,Africa
IRL,Europe
MDV,Asia
PAN,North America
MOZ,Africa
OMN,Asia
CZE,Europe
HMD,Antarctica
VCT,North America
HTI,North America
NGA,Africa
VGB,North America
NAM,Africa
DMA,North America
CAN,North America
GGY,Europe
NER,Africa
IDN,Asia
YEM,Asia
PSE,Asia
GAB,Africa
ERI,Africa
CYP,Europe
HKG,Asia
BVT,Antarctica
SVK,Europe
SVN,Europe
NIU,Oceania
KIR,Oceania
DEU,Europe
UNK,Europe
CIV,Africa
LKA,Asia
MAF,North America
BEL,Europe
ISR,Asia
ALA,Europe
MNP,Oceania
DNK,Europe
BMU,North America
GIB,Europe
SYR,Asia
TLS,Oceania
SMR,Europe
GMB,Africa
PER,South America
GNB,Africa
SLE,Africa
TUR,Europe
TUR,Asia
BOL,South America
NOR,Europe
COG,Africa
SWZ,Africa
PRY,South America
UKR,Europe
MYS,Asia
TON,Oceania
BEN,Africa
SWE,Europe
TUV,Oceania
MNG,Asia
ZAF,Africa
CUW,North America
AUS,Oceania
KNA,North America
GHA,Africa
IRQ,Asia
VNM,Asia
GUY,South America
AZE,Europe
AZE,Asia
CMR,Africa
EGY,Africa
ISL,Europe
VEN,South America
BRB,North America
FLK,South America
MWI,Africa
KGZ,Asia
TWN,Asia
BGR,Europe
PRK,Asia
AND,Europe
AGO,Africa
BLM,North America
RUS,Europe
RUS,Asia
BFA,Africa
VAT,Europe
IMN,Europe
AFG,Asia
HRV,Europe
BTN,Asia
BLR,Europe
CCK,Asia
NZL,Oceania
MDG,Africa
THA,Asia
GEO,Asia
IND,Asia
CHN,Asia
SPM,North America
PRI,North America
DJI,Africa
SAU,Asia
IRN,Asia
ZMB,Africa
ETH,Africa
MAC,Asia
GTM,North America
MTQ,North America
SUR,South America
URY,South America
ITA,Europe
NCL,Oceania
FJI,Oceania
ABW,North America
STP,Africa
CHE,Europe
COD,Africa
FIN,Europe
MLT,Europe
SLV,North America
JOR,Asia
TKL,Oceania
NRU,Oceania
POL,Europe
MRT,Africa
WLF,Oceania
ATA,Antarctica
GUM,Oceania
MKD,Europe
TGO,Africa
MMR,Asia
QAT,Asia
FRA,Europe
MYT,Africa
NFK,Oceania
SYC,Africa
MDA,Europe
SSD,Africa
BRN,Asia
JPN,Asia
GRD,North America
ESP,Europe
BES,North America
PNG,Oceania
UZB,Asia
ARG,South America
KOR,Asia
BLZ,North America
REU,Africa
MEX,North America
VIR,North America
SRB,Europe
UMI,Oceania
CPV,Africa
KHM,Asia
ROU,Europe
HUN,Europe
MHL,Oceania
SOM,Africa
ALB,Europe
PYF,Oceania
BDI,Africa
CAF,Africa
GUF,South America
ASM,Oceania
LCA,North America
UGA,Africa
HND,North America
KAZ,Asia
KEN,Africa
WSM,Oceania
NPL,Asia
GNQ,Africa
LBN,Asia
MUS,Africa
LIE,Europe
CYM,North America
AIA,North America
GLP,North America
AUT,Europe
NLD,Europe
SJM,Europe
SGP,Asia
LBR,Africa
