cca3,year,gini
JAM,2004,45.5
COM,2014,45.3
ZWE,2019,50.3
LAO,2018,38.8
LVA,2018,35.1
TJK,2015,34.0
GBR,2017,35.1
NIC,2014,46.2
SDN,2014,34.2
GRC,2018,32.9
LTU,2018,35.7
RWA,2016,43.7
SEN,2011,40.3
LSO,2017,44.9
TUN,2015,32.8
VUT,2010,37.6
ECU,2019,45.7
PHL,2018,42.3
CHL,2017,44.4
TZA,2017,40.5
CRI,2019,48.2
MAR,2013,39.5
MNE,2016,38.5
FSM,2013,40.1
PRT,2018,33.5
ARE,2018,26.0
LUX,2018,35.4
SLB,2012,37.1
DZA,2011,27.6
BRA,2019,53.4
MLI,2009,33.0
PAK,2018,31.6
TTO,1992,40.3
ARM,2019,29.9
BGD,2016,32.4
TKM,1998,40.8
TCD,2011,43.3
BIH,2011,33.0
BWA,2015,53.3
EST,2018,30.3
DOM,2019,41.9
USA,2018,41.4
COL,2019,51.3
GIN,2012,33.7
IRL,2017,31.4
MDV,2016,31.3
PAN,2019,49.8
MOZ,2014,54.0
CZE,2018,25.0
HTI,2012,41.1
NGA,2018,35.1
NAM,2015,59.1
CAN,2017,33.3
NER,2014,34.3
IDN,2019,38.2
YEM,2014,36.7
PSE,2016,33.7
GAB,2017,38.0
CYP,2018,32.7
SVK,2018,25.0
SVN,2018,24.6
KIR,2006,37.0
DEU,2016,31.9
UNK,2017,29.0
CIV,2015,41.5
LKA,2016,39.3
BEL,2018,27.2
ISR,2016,39.0
DNK,2018,28.2
SYR,2003,37.5
TLS,2014,28.7
GMB,2015,35.9
PER,2019,41.5
GNB,2010,50.7
SLE,2018,35.7
TUR,2019,41.9
BOL,2019,41.6
NOR,2018,27.6
COG,2011,48.9
SWZ,2016,54.6
PRY,2019,45.7
UKR,2019,26.6
MYS,2015,41.1
TON,2015,37.6
BEN,2015,47.8
SWE,2018,30.0
TUV,2010,39.1
MNG,2018,32.7
ZAF,2014,63.0
AUS,2014,34.4
GHA,2016,43.5
IRQ,2012,29.5
VNM,2018,35.7
GUY,1998,45.1
AZE,2005,26.6
CMR,2014,46.6
EGY,2017,31.5
ISL,2017,26.1
VEN,2006,44.8
MWI,2016,44.7
KGZ,2019,29.7
BGR,2018,41.3
AGO,2018,51.3
RUS,2018,37.5
BFA,2014,35.3
HRV,2018,29.7
BTN,2017,37.4
BLR,2019,25.3
MDG,2012,42.6
THA,2019,34.9
GEO,2019,35.9
IND,2011,35.7
CHN,2016,38.5
DJI,2017,41.6
IRN,2018,42.0
ZMB,2015,57.1
ETH,2015,35.0
GTM,2014,48.3
SUR,1999,57.9
URY,2019,39.7
ITA,2017,35.9
FJI,2013,36.7
STP,2017,56.3
CHE,2018,33.1
COD,2012,42.1
FIN,2018,27.3
MLT,2018,28.7
SLV,2019,38.8
JOR,2010,33.7
NRU,2012,34.8
POL,2018,30.2
MRT,2014,32.6
MKD,2018,33.0
TGO,2015,43.1
MMR,2017,30.7
FRA,2018,32.4
SYC,2018,32.1
MDA,2018,25.7
SSD,2016,44.1
JPN,2013,32.9
ESP,2018,34.7
PNG,2009,41.9
UZB,2003,35.3
ARG,2019,42.9
KOR,2016,31.4
BLZ,1999,53.3
MEX,2018,45.4
SRB,2017,36.2
CPV,2015,42.4
ROU,2018,35.8
HUN,2018,29.6
SOM,2017,36.8
ALB,2017,33.2
BDI,2013,38.6
CAF,2008,56.2
LCA,2016,51.2
UGA,2016,42.8
HND,2019,48.2
KAZ,2018,27.8
KEN,2015,40.8
WSM,2013,38.7
NPL,2010,32.8
LBN,2011,31.8
MUS,2017,36.8
AUT,2018,30.8
NLD,2018,28.1
LBR,2016,35.3
